county,locationid,year,dogkill,population,unemployed,medincome,perpoverty,poverty,vtdummy,statedum,state,nvdummy,ctdummy,medummy,ordercount,expenditures,count,county_vcrime,state_vcrime_report,state_vcrime_est,countyid,_merge,black,na,hisp,countlag,explag,minority,kill,stateid,nhdummy,drugest,lb,ub,t,t2,t3,killlag,logexpenditures,logmedincome,logpopulation,logblack,logcounty_vcrime,logminority,logexplag,dogkilllag,changecount,changecountdog,meancount,meancountdog
Fairfax,901,2006,0,699544,24939,76671,,46169,0,1,Connecticut,0,1,0,58,27859,1,,,,,1,91809,941,144440,1,0,,1,1,0,,,,1,1,1,1,10.2349472045898,11.2472791671753,13.4581842422485,11.4274768829346,,,,,,,1.25,0.375
Fairfax,901,2007,0,694008,26665,80241,,32375,0,1,Connecticut,0,1,0,44,171457,0,,,,,1,91809,941,144440,1,27859,,0,1,0,,,,2,4,8,1,12.0520935058594,11.2927894592285,13.4502391815186,11.4274768829346,,,10.2349472045898,0,-1,0,1.25,0.375
Fairfax,901,2008,0,693086,27210,83491,,49902,0,1,Connecticut,0,1,0,69,17886,2,,,,,1,91809,941,144440,0,171457,,1,1,0,8.6899995803833,7.23000001907349,10.4099998474121,3,9,27,0,9.79182910919189,11.3324937820435,13.4489097595215,11.4274768829346,,,12.0520935058594,0,2,0,1.25,0.375
Fairfax,901,2009,0,695952,35065,81639,,55676,0,1,Connecticut,0,1,0,71,67935.5,2,,,,,1,91809,941,144440,2,17886,,1,1,0,9.42000007629395,7.8600001335144,11.2399997711182,4,16,64,1,11.1263284683228,11.3100624084473,13.4530363082886,11.4274768829346,,,9.79182910919189,0,0,0,1.25,0.375
Fairfeild,901,2010,0,709721,44382,80122,,63165,0,1,Connecticut,0,1,0,29,928032.75,1,,,,,1,91809,941,144440,2,67935.5,,1,1,0,8.97000026702881,7.46000003814697,10.7399997711182,5,25,125,1,13.7408237457275,11.2913055419922,13.4726276397705,11.4274768829346,,,11.1263284683228,0,-1,0,1.25,0.375
Fairfeild,901,2011,0,725864,52098,77289,,68231,0,1,Connecticut,0,1,0,11,139567,1,,,,,1,91809,941,144440,1,928032.75,,1,1,0,9.5,7.94999980926514,11.3299999237061,6,36,216,1,11.8463068008423,11.2553071975708,13.4951181411743,11.4274768829346,,,13.7408237457275,0,0,0,1.25,0.375
Fairfeild,901,2012,1,735459,47788,79841,,65455,0,1,Connecticut,0,1,0,42,389257,0,,,,,1,91809,941,144440,1,139567,,0,1,0,9.93000030517578,,,7,49,343,1,12.871997833252,11.2877922058105,13.5082502365112,11.4274768829346,,,11.8463068008423,0,-1,1,1.25,0.375
Fairfeild,901,2013,2,743289,48652,82084,,71355,0,1,Connecticut,0,1,0,31,180995.84375,3,,,,,1,91809,941,144440,0,389257,,1,1,0,9.94999980926514,,,8,64,512,0,12.1062345504761,11.3154983520508,13.5188398361206,11.4274768829346,,,12.871997833252,1,3,1,1.25,0.375
Hartford,902,2006,1,698642,32574,58666,,69165,0,1,Connecticut,0,1,0,45,21733,1,,,,,1,107134,1414,128860,2,0,,1,1,0,,,,1,1,1,1,9.98663330078125,10.9796152114868,13.4568939208984,11.5818452835083,,,,,,,1.375,0.125
Hartford,902,2007,0,694037,33116,61437,,65239,0,1,Connecticut,0,1,0,38,12685,1,,,,,1,107134,1414,128860,1,21733,,1,1,0,,,,2,4,8,1,9.44825458526611,11.025767326355,13.4502801895142,11.5818452835083,,,9.98663330078125,1,0,-1,1.375,0.125
