,idvar,year,X,countryname,ccode,gdppercap,population,LoTPoliceCriminal,LoTPoliceDissident,LoTPoliceMarginalized,LoTPoliceStateAgent,LoTPrisonCriminal,LoTPrisonDissident,LoTPrisonMarginalized,LoTPrisonStateAgent,LoTMilitaryCriminal,LoTMilitaryDissident,LoTMilitaryMarginalized,LoTMilitaryStateAgent,LoTIntelligenceCriminal,LoTIntelligenceDissident,LoTIntelligenceMarginalized,LoTIntelligenceStateAgent,LoTImmigrationCriminal,LoTImmigrationDissident,LoTImmigrationMarginalized,LoTImmigrationStateAgent,LoTParamilitaryCriminal,LoTParamilitaryDissident,LoTParamilitaryMarginalized,LoTParamilitaryStateAgent,RstrctAccess,uds.mean,uds.sd,uds.median,uds.025,uds.975,polity2,xconst,parreg,parcomp,exconst,bornyear,endyear,democracy,agedem,agereg,polityDemoc,cyear,lotPolCri,lotPolDis,lotPolMar,lotPolSA,lotPriCri,lotPriDis,lotPriMar,lotPriSA,lotMilCri,lotMilDis,lotMilMar,lotMilSA,lotIntCri,lotIntDis,lotIntMar,lotIntSA,lotImmCri,lotImmDis,lotImmMar,lotImmSA,lotParCri,lotParDis,lotParMar,lotParSA,codingstart,COWcode,v2x_polyarchy,v2x_api,v2x_mpi,v2x_jucon,CIRI,UNCTRY,POLITY,INJUD
1,100,1995,1,Colombia,COL,2470.683383,37441980,0,5,0,0,3,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0.220214912,0.119795458,0.222769103,-0.018382522,0.453664812,7,6,2,3,6,1831,2008,1,38,38,1,-5,0,5,0,0,3,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,1900,100,0.554438179,0.776637826,0.332238532,0.831801832,212,170,100,1
2,100,1996,2,Colombia,COL,2553.549618,38049040,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.221715994,0.119667747,0.223067915,-0.014464966,0.455401603,7,6,2,3,6,1831,2008,1,39,39,1,-4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1900,100,0.552375636,0.775173743,0.329577528,0.831801832,212,170,100,1
3,100,1997,3,Colombia,COL,2759.952882,38645409,3,3,3,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0.219628088,0.122003754,0.220883444,-0.019977205,0.449248408,7,6,2,3,6,1831,2008,1,40,40,1,-3,3,3,3,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,5,5,0,1900,100,0.549537379,0.773120346,0.325954411,0.831801832,212,170,100,1
4,100,1998,4,Colombia,COL,2509.139908,39234059,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.26506457,0.119319381,0.265558016,0.030401235,0.496342252,7,6,2,3,6,1831,2008,1,41,41,1,-2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1900,100,0.549751888,0.773866479,0.325637296,0.831801832,212,170,100,1
5,100,1999,5,Colombia,COL,2164.432876,39819279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0.16613172,0.128116808,0.166931808,-0.084214131,0.413324186,7,6,2,3,6,1831,2008,1,42,42,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1900,100,0.528749164,0.75956419,0.297934137,0.831801832,212,170,100,1
6,100,2000,6,Colombia,COL,2472.197776,40403959,0,0,0,0,0,3,0,0,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0.151899001,0.11856997,0.150752752,-0.077741387,0.391062176,7,6,2,3,6,1831,2008,1,43,43,1,0,0,0,0,0,0,3,0,0,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,0,1900,100,0.54137918,0.76878826,0.313970099,0.831801832,212,170,100,1
7,100,2001,7,Colombia,COL,2395.856522,40988909,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0.16839959,0.128685809,0.169271101,-0.075333933,0.41552012,7,6,2,3,6,1831,2008,1,44,44,1,1,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,5,0,1900,100,0.541671405,0.769168094,0.314174715,0.831801832,212,170,100,1
8,100,2002,8,Colombia,COL,2355.725753,41572493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.163999595,0.127823165,0.166711442,-0.086900862,0.408300372,7,6,2,3,6,1831,2008,1,45,45,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1900,100,0.512796954,0.748125186,0.277468722,0.831801832,212,170,100,1
9,100,2003,9,Colombia,COL,2246.257648,42152147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.166827582,0.127720439,0.167387577,-0.0861459,0.413239092,7,6,2,3,6,1831,2008,1,46,46,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1900,100,0.461667977,0.7125168,0.210819153,0.831801832,212,170,100,1
10,100,2004,10,Colombia,COL,2740.249866,42724157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166758908,0.125750028,0.167031381,-0.075854111,0.415897924,7,6,2,3,6,1831,2008,1,47,47,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,100,0.471710516,0.721108436,0.222312596,0.831801832,212,170,100,1
11,100,2005,11,Colombia,COL,3386.025478,43285636,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,1,0.216353194,0.126900397,0.218099092,-0.031233747,0.46514397,7,6,2,3,6,1831,2008,1,48,48,1,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1900,100,0.466133338,0.716755627,0.215511048,0.843645275,212,170,100,1
12,101,1995,12,"Venezuela, RB",VEN,3375.089125,22188671,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64863895,0.161307165,0.638991704,0.360108259,0.996615838,8,6,2,4,6,1841,2008,1,37,37,1,-5,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,101,0.809420211,0.917395679,0.701444744,0.701475978,674,862,101,1
13,101,1996,13,"Venezuela, RB",VEN,3013.729081,22649212,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.684810619,0.16547437,0.676201805,0.387571819,1.034658808,8,6,2,4,6,1841,2008,1,38,38,1,-4,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,101,0.809420211,0.917395679,0.701444744,0.701475978,674,862,101,1
14,101,1997,14,"Venezuela, RB",VEN,3714.617216,23108003,0,0,3,0,2,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.685279391,0.164285632,0.679735672,0.388329204,1.034830652,8,6,2,4,6,1841,2008,1,39,39,1,-3,0,0,3,0,2,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,101,0.809420211,0.917395679,0.701444744,0.701475978,674,862,101,1
15,101,1998,15,"Venezuela, RB",VEN,3875.904843,23565734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.644630696,0.161310745,0.636799169,0.357306296,0.982015282,8,6,2,4,6,1841,2008,1,40,40,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,101,0.815071122,0.919775474,0.710366771,0.66476512,674,862,101,1
16,101,1999,16,"Venezuela, RB",VEN,4078.287002,24023355,2,0,0,0,2,0,-99,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29744512,0.12878624,0.299961113,0.038924171,0.548944363,7,5,2,4,5,1841,2008,1,41,41,1,-1,2,0,0,0,2,0,NA,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,101,0.739082219,0.88190435,0.596260087,0.595339775,674,862,101,1
17,101,2000,17,"Venezuela, RB",VEN,4785.153059,24481477,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.475284422,0.129359894,0.470752519,0.237695686,0.741303167,7,5,2,4,5,1841,2008,1,42,42,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,101,0.642784456,0.828761838,0.456807075,0.331667781,674,862,101,1
18,101,2001,18,"Venezuela, RB",VEN,4928.17304,24940223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463479541,0.136782096,0.458903792,0.210411196,0.747159474,6,5,2,3,5,1841,2008,1,43,43,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,101,0.604319485,0.806404842,0.402234128,0.331667781,674,862,101,1
19,101,2002,19,"Venezuela, RB",VEN,3657.193748,25399143,3,3,5,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172306934,0.129968714,0.172492343,-0.081093544,0.423779058,6,5,2,3,5,1841,2008,1,44,44,1,2,3,3,5,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,101,0.591538387,0.796795961,0.386280813,0.331667781,674,862,101,1
20,101,2003,20,"Venezuela, RB",VEN,3233.956106,25857553,3,2,5,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279723417,0.127328332,0.281824851,0.02288523,0.519743758,6,5,2,3,5,1841,2008,1,45,45,1,3,3,2,5,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,101,0.568413357,0.782574357,0.354252356,0.314967543,674,862,101,0
21,101,2004,21,"Venezuela, RB",VEN,4273.365372,26314483,0,0,5,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220135587,0.128573266,0.220080043,-0.031901747,0.473358652,6,5,2,3,5,1841,2008,1,46,46,1,4,0,0,5,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,101,0.566351996,0.781154036,0.351549957,0.185311958,674,862,101,0
22,101,2005,22,"Venezuela, RB",VEN,5435.87226,26769115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193829009,0.12882303,0.194796428,-0.051646657,0.44116885,6,5,2,3,5,1841,2008,1,47,47,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,101,0.553786626,0.772760084,0.334813168,0.075907312,674,862,101,0
23,110,1995,23,Guyana,GUY,855.416352,726695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307858722,0.177581398,0.310310512,-0.043781723,0.660739876,6,5,2,3,5,1966,2008,0,30,30,1,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,110,0.519055104,0.753708561,0.284401647,0.71899271,320,328,110,2
24,110,1996,24,Guyana,GUY,966.0541821,730193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310030387,0.181716882,0.311816254,-0.052215152,0.667597859,6,5,2,3,5,1966,2008,0,31,31,1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,110,0.519055104,0.753708561,0.284401647,0.71899271,320,328,110,2
25,110,1997,25,Guyana,GUY,1020.827044,733854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30911863,0.182669284,0.310728759,-0.044024431,0.664024119,6,5,2,3,5,1966,2008,0,32,32,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,110,0.541784457,0.768923666,0.314645249,0.723012507,320,328,110,2
26,110,1998,26,Guyana,GUY,973.1657568,737316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305860113,0.186379832,0.306267224,-0.054913076,0.668638597,6,5,2,3,5,1966,2008,0,33,33,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,110,0.60672986,0.809571267,0.403888453,0.667513847,320,328,110,1
27,110,1999,27,Guyana,GUY,938.618364,740189,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30664357,0.181976072,0.310148463,-0.06346488,0.656750438,6,5,2,3,5,1966,2008,0,34,34,1,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,110,0.607906726,0.810102797,0.405710656,0.667513847,320,328,110,1
28,110,2000,28,Guyana,GUY,960.1867601,742218,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371182184,0.156640266,0.373115021,0.051614097,0.679801842,6,5,2,3,5,1966,2008,0,35,35,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,110,0.602789121,0.806456042,0.399122199,0.697331727,320,328,110,1
29,110,2001,29,Guyana,GUY,936.9162239,743163,-99,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361423071,0.182733667,0.367453242,0.001217526,0.719668615,6,5,2,3,5,1966,2008,0,36,36,1,1,NA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,110,0.615603882,0.814267096,0.416940669,0.612701595,320,328,110,1
30,110,2002,30,Guyana,GUY,972.2164996,743107,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.356088199,0.179694922,0.350772226,0.005362182,0.711655084,6,5,2,3,5,1966,2008,0,37,37,1,2,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,110,0.624055947,0.819418597,0.428693296,0.587423027,320,328,110,1
31,110,2003,31,Guyana,GUY,999.1816472,742537,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358934758,0.177088198,0.358191026,0.000962927,0.699502624,6,5,2,3,5,1966,2008,0,38,38,1,3,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,110,0.626288572,0.820454087,0.432123056,0.587423027,320,328,110,1
32,110,2004,32,Guyana,GUY,1058.958515,742162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359549713,0.178580251,0.360240462,0.00910349,0.707396559,6,5,2,3,5,1966,2008,0,39,39,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,110,0.626288572,0.820454087,0.432123056,0.587423027,320,328,110,1
33,110,2005,33,Guyana,GUY,1110.957717,742495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253259,0.183071954,0.254687389,-0.107905377,0.606603365,6,5,2,3,5,1966,2008,0,40,40,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,110,0.626288572,0.820454087,0.432123056,0.587423027,320,328,110,1
34,115,1995,34,Suriname,SUR,1556.581182,445830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364406677,0.19232993,0.362419275,0.00253699,0.750044227,5,5,3,4,5,1975,2008,1,5,5,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,115,0.799736091,0.911933143,0.687539038,0.916652203,602,740,115,1
35,115,1996,35,Suriname,SUR,1897.112821,453653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422799488,0.190877441,0.415861095,0.064016842,0.809220378,5,5,3,4,5,1975,2008,1,6,6,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,115,0.825720533,0.924435937,0.727005129,0.916652203,602,740,115,1
36,115,1997,36,Suriname,SUR,2014.016323,461569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424288952,0.189898488,0.422929877,0.065994784,0.799139397,5,5,3,4,5,1975,2008,1,7,7,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,115,0.826430002,0.924741882,0.728118123,0.916652203,602,740,115,1
37,115,1998,37,Suriname,SUR,2014.461489,469108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421084635,0.196527688,0.416220879,0.031897634,0.81620429,5,5,3,4,5,1975,2008,1,8,8,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,115,0.826430002,0.924741882,0.728118123,0.916652203,602,740,115,1
38,115,1999,38,Suriname,SUR,1861.596524,475637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423565289,0.194776959,0.422896303,0.047906405,0.803520612,5,5,3,4,5,1975,2008,1,9,9,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,115,0.826430002,0.924741882,0.728118123,0.916652203,602,740,115,1
39,115,2000,39,Suriname,SUR,1855.77231,480751,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.741553811,0.182758983,0.739668194,0.390251271,1.107716956,5,5,3,4,5,1975,2008,1,10,10,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,115,0.833888734,0.928252742,0.739524726,0.916652203,602,740,115,1
